,date,review,rating,isEdited,userName,title,developerResponse
10,2022-08-10 18:28:47,"Do not use the private relay that Apple will automatically apply. Trust me on this the Apple private relay is only accessible by kickstarter which is great I guess except when it comes to rewards. If you try to contact any of the campaigns to get your rewards they can’t tell it’s you because of the private relay. It is a horrible feature for this type of app where your dealing with in my case thousands of dollars lost due to unable to receive confirmation emails from the campaigns to get my rewards to me. 
Don’t log in to kickstarter automatically with the black bar that says Apple ID instead create an account using a computer and register your actual email address even if it is your Apple ID email address it is more convenient to use the email instead of the private relay.",5,False,Goofybstd,Great app and great service except for the Apple private relay,
11,2020-10-28 08:07:13,"I have been a huge fan of kickStarter for several years now. The items that I see and feel something that makes me want to help kickStart these brilliant ideas, whether it be a new gadget, an old but improved take on something or someones vision for a piece of Artwork that they wish to give the world. The experience of making a financial bond by backing them early and seeing them snowball in popularity and mature to a finished product often with several bonus items attached, I have to say its similar to a proud parents watching a baby grow up and make moves disrupting or improving the current status quo. Ive invested in belts, chargers and short films and each gives me a great deal of pride and happiness when the final priduct is even more astonishing than I had ever imagined during the first time I saw it on the app. This app completes me.",5,False,ThatOneCreepOverYonder,Like having a sneak preview to next years coolest gear.,
12,2022-09-06 17:16:02,"Once upon a time, the primary method of trade was - to trade something for something else. Money - coins, precious stones, or official looking paper - something that enough people could agree was worth something else. This proved so successful that innovation and wealth continued to feed each other and grow. But mass consumption begat mass production, which meant something that wasn't for most of the people most of the time didn't see products they would have liked if other people couldn't afford to create, innovate, AND distribute the increased products. Necessity being the mother of invention, Kickstarter was born.  And despite a few inevitable bugs, it pretty much worked. And off-the-wall projects were possible due to off-the-wall funding. Some live, some die, but everyone has a chance.",5,False,Grandpa Tzhett,Bypass the traditional economy!,
13,2021-03-02 17:41:37,"I really enjoy the app, it’s very easy to use and search and I haven’t had any issues on that front! One thing I would like to see is more project categories in the Profile tab... right now we have Backed and Saved... it becomes difficult and very frustrating to track projects this way, especially when you have a large number of projects in flux. I currently have 48 projects in my Backed category and trying to filter and keep track on the app is tough. I’ve added a separate spreadsheet function to try and help. I feel it could be better organized, as follows (for example, to keep labels concise and one word): 

*Backed (overall summary of all backed projects, left as is)
*Live (still active in their campaign) 
*Successful (Between being successfully funded and received, so in flux)
*Received (Projects that have been marked as received) 
*Unsuccessful (these still linger in Backed and can be misleading, and there isn’t a way to remove them)
*Liked (this category is pretty awesome as is) 

The Successful and Received categories I feel would be most useful as a way to keep track of what you are waiting for. 

Just my two cents, really the only issue I have. And I’d rather come with a potential solution than complain and offer nothing.",4,False,SnaketheJake33,"Enjoy the App, Want More Categories for Backed/Liked",
14,2023-10-25 13:42:16,"Be prepared to lose your money. I have funded 18 projects this year. One was unsuccessful, I have received 3 of my “rewards”, 3 of them collected my money, posted an update about how grateful they are and saying they’re beginning production and then I never heard from them again I no longer expect to and the rest I’m hopeful about but may very well lose that money also. Kickstarters is upfront about the rewards not being guaranteed but also seem unwilling to help. These scammers may very well “have their access suspended” but they just create a new account and do it again. Overall I’m extremely dissatisfied with my experience in the platform and probably will not back another campaign. Also, there is so much time that elapses between completion of the campaign and when the rewards are expected that you cannot file a claim with the bank. Discover Card won’t let you back any projects from Hong Kong—that is where nearly every creator who has gotten over on me has been operating from.",1,False,cwdonohue,You will lose money,
15,2023-04-19 15:47:57,"I used to LOVE kickstart. It was a place to back peoples dreams and watch them become reality. They used to hold the creators accountable as well. However this is not the case anymore. The chance of being scammed has become higher and higher. They went as fat as to change the terms and conditions to cover them because so many people were getting scammed. They will not help those that have been scammed. One of the projects I was included in they scammed over $27,000 from the backers. Kickstart will do nothing. It used to be an amazing place with integrity. Now it’s just a cesspool of scammers looking for their next victim. There are a few creators still on there that follow through. But be warned and do as much research on the creator as possible. Mochi Bear Studios is a hard pass. She has scammed more then the $27,000. She did multiple campaigns and has not been held accountable for any of them.",3,False,sierrazulu22,Allow theft,
16,2023-01-18 01:23:56,"I was a backer on a project and they said everything had been sent out. I waited, and waited, and finally had to look into what was going on. The fatal flaw of Kickstarter is the “Survey” for shipping out completed projects. Without it being filled out you won’t receive anything, nada, nothing.

Guess what? THERE IS NO ACCESS TO THE SHIPPING SURVEY IN THE IOS APP. Not that I could find. You have to go to the Kickstarter website to fill out the survey and you only know to do that if the project creator informs you through the project notifications. Or you happen to see a notification in your email, and I never found one for my project despite having that setup in my settings.

It seems to me this is an essential part of the Kickstarter project process and needs to be clear and evident in the iOS app, I’m on an iPad, before I can rate this app any higher.",3,False,R.K.Foster,"Still needs work, guys. Okay for finding projects.",
17,2022-03-10 20:44:00,"In the past, I would use this app daily to check out the latest creative projects looking for funding. Having the ability to search and sort from a variety of options was great, and that I didn’t have to use the clunky webpage on my phone was a huge boon.
Lately, the app has been extremely laggy, often crashing while I’m waiting for it to load up the front page, and many of the features that users requested via their feedback program years ago have still never been implemented. Surveys now will open in the app if you are clicking an email link, but you still cannot submit them on mobile.
It’s a bit disappointing that the app has gone downhill so badly since I really did enjoy the convenience, but at least my wallet will probably be happier since I haven’t backed nearly as many projects since these issues (lag/crashes) started (bye-bye Superbacker status).",2,False,Truvein,Very Clunky In Recent Times,
18,2022-03-04 21:18:11,"There are a couple of creators I’ve backed in the past who continue to spam my Activity feed with multiple plugs for new things of theirs on long dead project updates. They have nothing whatsoever to do with the projects I’ve backed (not talking about things like v4 of this and previous backers get a discount; this is more like “you backed a pen, now back our solar farm!” followed by “it’s been 48 hours since our last solar farm update, only 26 days to go!” Repeat ad nauseum), and they send out multiple updates. Creators can block troublesome patrons; patrons should be able to block troublesome creators. Couple times a year my activity feed gets totally clogged up with their crap making it really hard to keep track of my non-zombie projects. Feedback to KS has indicated that they don’t really care and we should just turn off email updates. That’s fine for email, but the Activity Feed in the app is still a mess with this crap.",1,False,notDaStig,Really need to be able to block creators who spam,
19,2020-11-03 18:23:21,"So, first let me say, that this review isn’t based on the App itself. It’s fine. Best grade I can give it. But... for anyone planning on investing any $$ in a project.... BUYER BEWARE. I’ve used Kickstarter on and off for 4+ years. It is a total grab bag of if you wind up w/ anything at all. Some smaller projects are low risk. You invest, the project gets funded and your reward comes. Sometimes it’s way outside of the forecasted timeline, but these things happen. But... in the event you invest in a project and it reaches it’s funding goal and you NEVER receive your reward... too bad for you. Kickstarter will do NOTHING to assist. Nothing. The only guidance they give is to address it with the Creator. And good luck with that. They already have your money (or “donation” as it’s sometimes called). So buyer beware. You have zero recourse if you fund a project that decides never to deliver. So, small projects that you want to toss a little cash at... fine, but I would only advise going into it if you are 100% ok with never seeing any payoff for that money.",1,False,JustinStronk,The App is fine... the Company is HORRIBLE,
20,2019-09-16 09:00:23,"If you don’t know about Kickstarter, you are missing out. I have made 2 purchases so far on some really cool inventions. Kickstarter gives both new and existing companies, with new products, the opportunity to test the customer market through advertisement and retail sales of new products at a discounted rate. Some products have been a bust while others far exceed what the designing companies were hoping to achieve in the way of funding. Although many products are not assembled and shipped for an extended amount of time, due to being in various stages of design, this is still a very innovative and worthwhile app to have. You’ll be glad you downloaded it. Thank you Kickstarter!",5,False,Crooked Line,Must Have New Gadget Advisor,
21,2019-10-05 05:26:44,"Great app overall.  I enjoy browsing the projects, but the following updates/additional features need to be added for everyone's enjoyment and ease:

1.  More search options such as keyword search, search via Voice without having to find our microphone on our keyboard, and subcategory search.  Another search feature would be to be able to add search exceptions (minus keywords). 

2.  The ability to view updates only on a project's page versus having to scroll through an entire page again.   This is assuming one is logged in. 

3.  ADA Accessibility options for the app, such as font size, boldness, and font type is available.  I don't always have my reading glasses handy amd/or care to wear them for a quick KS browse, so it would be helpful to be able to choose my font size at least on your app.  

4.  It would be helpful to know under what circumstances one's credit card would have a hold put on it, when one is considering backing a project.  That can make a difference between how soon one backs a possible project.   After all, no one likes surprises to their finances - unless positive financial and/or FICO gain. 

Additional app review very likely at the end of 2019 after maybe possibly experience having backed my first chosen project or two.",3,False,msreviewsRUs,Great app overall but needs an update and ADA Accessibility options.,
22,2019-04-04 09:51:20,"First of all, let me say that life as a Kickstarter backer can be very rewarding.  On most weekends here in my city, there are lots of artists performing, all genre of music, several theaters... and somewhere amidst it all is a Flamenco Dance Troupe.  It’s just part of a rich culture fabric.  And when that Troupe dances, they are pleased to have a nice, portable, professional-style dance floor.  On the back of that floor are written a bunch of names, mine included.  Those are the Kickstarter backers who pledged to buy that floor and keep great Flamenco dance alive I our city.  I’m not a huge Flamenco fan; it’s nice, but not my favorite.  However I am glad that we have it.  

A group of college students studying engineering got to send an experiment into space on a satellite.  That’s not cheap, even at “student rates.”  The world is better off now.  The experiment explores a new technique for cooling electrics in the vacuum of space.  But the world is mostly better off because five young engineers learned to work together to solve real problems.  

And so many more rewarding projects.

The app itself is stable and reasonably designed.

Here is one thing I hate:  to send a creator a message, the app bails you out to a website which requires that you enter your password.  Because the app itself keep you logged in, I don’t know my Kickstarter password off the top of my head.",3,False,Gollnick,Can Be Rewarding,
23,2022-02-12 14:34:24,"I got the app so I could get notifications on projects I’ve backed without getting emails, but I really wish I could also sign up for updates from projects I haven’t backed on Kickstarter. There are several projects I didn’t back until the late pledge timeframe, which was on some other platform, but I would prefer to still get all their updates in one place, and not have to sign up for email updates from pledge manager and gamefound and a few other sites. I can “save” completed projects, so they are easy to find again, but I can’t subscribe to their updates.

At least using the app means I don’t have to go to the Kickstarter home page on my laptop browser anymore, so that’s something, but I imagine I’m also giving away a bunch of advertising info just by having this app on my phone.",3,False,Create Nickname. Okay.,It’s okay,
24,2020-05-24 09:56:22,"I love Kickstarter and this app works well. I’ve backed numerous projects of different types, and I’ve generally had good experiences.

However, I’d really like the app to include two improvements:
1. There is currently no way to tell when a commenter is replying to a previous comment.  I’d like to be able to see/find the original comment when a reply is posted. 
2. In my profile, there are only two categories: “Backed” and “Saved”. I’d like a third category of “Completed/Reward Received”. Now that my “Backed” list is getting longer, I’d love to be able to move the old ones to a different list so I can easily see which ones are still active/outstanding. There is a slider button for “Reward Received” but it doesn’t seem to really do anything.",4,False,DrSemprini,Great App But Needs a Few Updates,
25,2022-03-13 11:53:46,"Having backed a project that turned out to be a scam, I discovered that Kickstarter will do NOTHING to intervene. You are allowed to submit a single ‘report’ to KS, which they apparently will ignore. Be warned: if the project does turn out to be a scam, since Kickstarter acts as a front for the scammers, credit card companies will not reverse payment. Scams are increasing. Do a little research on the growth of scammers, and the lack of action on the part of Kickstarter. Don’t pledge anything you aren’t willing to lose.

Update: as can be seen from the response, Kickstarter doesn’t get it.  THEY take our money. Not the creators.  Kickstarter has decided to take no responsibility for the scammers that are now coming in and taking advantage of their system.  Projects that are a total lie don’t hit hurdles - they are scams.   Kickstarter is happy to allow them, because they profit from them. 

Personally, not going to back anything else.",1,True,TheSFCoder,Increasing number of scams,"{'id': 28537938, 'body': 'Hi, Thanks for your review. Unlike an online shop, Kickstarter is a place for creators to find support for creative projects and the final delivery can come with unexpected hurdles. Remember, backing is not buying. If you have feedback on ways we can continue to improve the backer experience, let us know: https://www.kickstarter.com/contact', 'modified': '2022-03-13T07:07:33Z'}"
26,2021-01-04 19:00:32,"As a regular backer, this app is invaluable to helping track the various projects I am supporting, watching or discovering. It’s generally quick and intuitive without a lot of feature bloat. That being said there are a few things I would love:
1. The ability to filter backed projects to only see those that haven’t been marked “received”. 
2. A better messaging system. Current one isn’t easy to find and doesn’t always properly show or notify you of unread messages
3. Several projects will update their page after the campaign for late pledges through another service. But these links/notices aren’t able to be seen on mobile. KS could create its own “late pledge” option for successful projects, or make these new banners viewable to app users.",4,False,llamadrew,Solid app,
27,2019-05-16 00:05:48,"App works fine. Kickstarter does not. You are literally gambling your money away. If the creator takes your money and doesn’t provide you with anything at all, Kickstarter will do absolutely NOTHING to help you. What they will do is happily take their cut of the money. I was duped and lost $165 and literally received nothing, no product not anything! Just simply handed over $165 to Kickstarter and some random person who kept my money. It was a scam, and Kickstarter threw their hands up. But of course kept their cut of the money and basically said screw you to all of the people supporting their business. I for one will never back another Kickstarter project and recommend that you don’t either unless you really feel compelled to gamble your money away. You may get nothing, you may get a half baked product, you may have to wait forever to get it and maybe if all things go well it will be worth you investment. For me, it never will be ever again.",1,False,Psych012332,Bad company,
28,2020-05-09 10:51:55,"The app works fine with better experience than using web interface. 

The really disappointing aspect of Kickstarter is that they don’t provide any organized framework for backers to publicly report their satisfactory receipt of rewards. About 50% of the projects I have backed get significantly behind schedule with reward delivery. It is important to be able to see what fraction of backers have actually received their rewards. For 20% of projects I have received nothing. Kickstarter don’t want to know this and they don’t want you to know this. 

It is particularly frustrating when the Kickstarter creator claims they have started shipping but it is very difficult to tell what fraction of people are actually receiving items. Kickstarter should track that percentage and make the statistic publicly available on all projects.",2,False,Rick G,App ok. But needs better system to publicly report reward receipt,
29,2023-08-04 18:01:00,"After a couple of bumpier starts, I have since come back to back a lot of products that I have been very well pleased with. And if you are either a Role Playing Gamer or a crafter, you cannot afford NOT to look into Kickstarters! Right now I have a 3d printer enclosure on its way to me that will allow my gaming family to freely use our 3d printer as well as allow some great new crafting projects for my wife and I to sell at local trade shows and craft fairs.

As for the RPG books and miniatures, I am finding and enjoying better quality products than the big names sell now.

In short… if you craft or roleplay game, install this app NOW.",5,False,kronoase,Excellent products! Top Notch!,
30,2022-05-09 03:17:52,"I know dark mode is a controversial subject for some, but I consider it a quality of life feature that is at least mildly related to health. What I mean is that it’s proven now that high exposure to blue light in the evening leads to sleep disruption. So any app that doesn’t offer dark mode in this day and age isn’t up to date on that fact.

Not to mention, I use dark mode all day, not just at night, because it’s easier on my eyes in general. Bring dark mode, kickstarter and I will change my rating to 5 stars. 

For everything else, your app has stellar functionality compared to other apps based on websites and I love your service to the world in the form of leading the crowdfunding movement :)",4,False,SpiritLoveRoot,"App is solid but no dark mode, no 5 stars…",
31,2020-10-24 15:52:21,"Works mostly as you would expect. Two issues, one big and one annoying. 
First, why are the replies not nested to the comment it’s replying to? Holy crap is it difficult to follow on the App. Obviously, this is not an issue in the website. But on the App, woof. Second the “Magic” section is very cool. I have stumbled across projects that I ended up backing that way. However, twice now, I have lost what I was looking at when I accidentally backed out to the main page of the App. Adding insult to injury, that project I was reviewing was no longer in the “Magic” section and I couldnt recall the name. If you have an algorithm that constantly refreshes this section, fine. But then for the love if god, add a History button so I can find the projects I was looking at previously that I might have forgotten to follow.",3,False,Capt Mediocre,"Works, but...",
32,2018-12-24 12:46:25,"First off, the app works fine. It’s functional, easy to navigate and responsive.
My problem is with Kickstarter itself.
I’ve supported several successful campaigns, the majority of which delivered the promised product on time.
However, if the creator of the campaign fails to deliver the product that the supporters backed financially, Kickstarter does NOTHING to intervene on the behalf of the backers. Basically, if the creator decides to keep your money and not provide the product they promised you, Kickstarter doesn’t care. They will not intervene on your behalf. No product, no refund, nothing. No punitive action against the dishonest creator. Nothing.
 So if you’re fine with gambling on people being true to their word, Kickstarter should be fine for you. However, when a project is labeled “Kickstarter Gold”, endorsed by Kickstarter, I feel the company has a responsibility as they have now attached themselves to the project by their endorsement.",1,False,The Goon,One star and here’s why,
33,2021-02-02 17:41:21,"Even though my profile states I’ve backed 9 campaigns, I’ve actually backed 10 campaigns but it seems as my 1st backing isn’t on my profile (not sure why that’s the case) & now is 1 of 2 campaigns that have left a sour taste in my mouth that now after my last backing I will not use Kickstarter anymore. The Seedolab campaign was the one that introduced me to Kickstarter. Paid close to $3000 for a device that never really worked as portrayed & customer service on both ends (Seedolab & Kickstarter) are non responsive. I guess that’s the risk of dealing with startups but Kickstarter should be held accountable for marketing these types of companies. The 2nd was the Fairy Drone. Contacted the creator to no avail because it’s a non working device since the app is no longer working. So how long are these companies being held responsible after their campaigns are successfully funded?",2,False,JoeCool157,Life after Kickstarter,
34,2021-12-28 20:27:56,"This review is not about the app but on Kickstarter and them protecting, me and you as their clients. I funded two projects and both came back with its own challenges. One project did complete but 9 months past due. Can’t comment too much on quality but didn’t work for me. More important was a project that I funded and shelled out 1,500US$, the company never delivered a thing - Schneider & Co. Kickstarter did nothing in address the issue except provide general statements. I was one of many that complained. You can see cursing in comments and Kickstarter still didn’t handle it. I been trying to get in touch with them multiple different ways but after a first reply, they stop responding. Money lost that you will never get it back from Kickstarter because they got paid. 

Can not recommend to anyone who values their money as you might not see it, ever.",1,False,Paul_brooklyn,Company supportive of Thieves,"{'id': 27151392, 'body': 'Hi, Thanks for your review. Unlike an online shop, Kickstarter is a place for creators to find support for creative projects and the final delivery can come with unexpected hurdles. Remember, backing is not buying. If you have feedback on ways we can continue to improve the backer experience, let us know: https://www.kickstarter.com/contact', 'modified': '2021-12-30T20:21:49Z'}"
35,2021-02-17 01:38:44,"I cannot give anymore then one star.  After being on the site for 10 years, the ecosystem has gone toxic and negative.

KS has in recent years become the fraudulent China scam platform go-to.  Its really sad.  Legit companies get buried or have their ideas stollen.  It is next to impossible to get any attention when clear fraud is accruing on the site from KS directly.

Communication is far to often a moot-point for many running projects. 

 Its just not good anymore... 

There appears to be next to no vetting or investigation into companies before they are given free access to create and then scam people.  (Personal conclusion.)

Host’ers just post some very good CGI demos and away they go.  No physical anything seems required before getting a go-ahead from KS.  Sad...

There seems to be little in the way of insuring backers funds so that they can recoup some level of funds should a failure occur if a company disappears, which is becoming the trend.  

*Personal Opinion:

I understand that risk is always real, but there seems to be insanely idiotic design behind it.  Even simple protections seem non-existent.  From my experience...

I recommend just waiting and paying a few dollars more in a store.  Better then losing $100, $200, $300, $+.

1-star is all I can give.",1,False,Mr.Unknown,Not a Safe Environment Anymore.,
36,2020-08-12 20:35:00,"Solid app, just sadly underpowered. The mobile experience is greatly different from the desktop/web version in terms of managing your backed projects. This is somewhat understandable when it comes to a phone vs the desktop/web. The compromises made in that case are at least justifiable. The iPad version, however is another story. There is no reason why the functionality is  so truncated. The screen real estate is there, just woefully underutilized. There is no way to visually see a list of received projects, like on the desktop version, no way to entire notes, like the desktop version, no way to see messages grouped by project, like the desktop version and on and on. 3 stars is the best I can do until these things get addressed.",3,False,da_Doc,iPhone app is acceptable IPad version is not,
37,2023-03-20 01:10:54,"Positive: Early access to some great comic creator projects from the industry’s best such as Coffin Comics, Action Labs, Mendoza, Tyndall, Faro’s, MERC, Harrsoe.

NEGATIVE: They only enforce unfairly, terms against the backers.   They ask you to use their team members to resolve issues with Scam Creators before going to “the courts”, however; they play dumb and prolong the issue by providing ambiguous   responses to your inquiries or protecting thin skinned creators who know they are blatantly lying in comments or not even commenting or updating all. When a creator cries foul as a distraction, they remove your comments and threaten to close your access.

It almost seems like bots are the 1st and 2nd tier of backer support because they don’t even directly address the issue or concerns of a backer.  They send links of terms and conditions but they don’t enforce the same terms against Creators.",2,False,Papa Aiello,Absentee Landlords,
